transaction_id,worker_id,date_id,channel_id,market_id,transaction_type,amount_local,amount_usd,transaction_outcome,is_fraud_flagged,is_disputed,is_reversed,velocity_score,fraud_loss_usd,processing_time_ms
val_0,val_2266,20241016,val_2,val_2,Wallet Funding via Bank Transfer,488.2946556,997.6967785,Disputed,FALSE,FALSE,TRUE,630.2743648,0,990
val_1,val_82,20230425,val_5,val_3,Cross-Border Remittance,27.48144382,37.33027607,Disputed,FALSE,TRUE,TRUE,526.7093698,0,634
val_2,val_814,20230126,val_4,val_3,Airtime Top-Up,123.1477375,378.3462267,Reversed,TRUE,TRUE,TRUE,24.06074596,3.709238776,354
val_3,val_566,20231009,val_1,val_3,Wallet Funding via Card,728.3745661,239.3366977,Declined,TRUE,FALSE,FALSE,132.8855222,235.9664998,821
val_4,val_2117,20230908,val_2,val_0,Refund,686.0997965,677.04469,Reversed,TRUE,TRUE,FALSE,446.069701,823.5464418,32
val_5,val_1311,20230817,val_6,val_0,Agent Withdrawal,357.2046187,765.4873324,Disputed,TRUE,FALSE,TRUE,461.5156837,961.2820064,811
val_6,val_1662,20230523,val_7,val_0,Cross-Border Remittance,451.0420805,715.9933941,Completed,FALSE,FALSE,TRUE,7.964470839,0,743
val_7,val_3828,20230415,val_1,val_2,Peer Transfer,538.5089598,526.6675291,Declined,TRUE,FALSE,TRUE,155.6330573,584.1787613,386
val_8,val_3414,20241123,val_8,val_1,Wallet Funding via Card,88.15060927,544.0993586,Declined,TRUE,TRUE,TRUE,845.9094563,956.1602594,893
val_9,val_3989,20240712,val_4,val_0,Cash-Out,791.1382065,118.0872955,Failed,FALSE,TRUE,FALSE,786.4498817,0,445
val_10,val_4079,20230331,val_11,val_1,Wallet Funding via Card,220.4649341,64.76924683,Disputed,TRUE,FALSE,TRUE,810.6249186,99.33398442,792
val_11,val_1240,20240827,val_11,val_2,Salary/Earnings Disbursement,147.6235832,798.9720468,Completed,FALSE,TRUE,FALSE,611.8095171,0,919
val_12,val_3078,20240308,val_7,val_0,Cross-Border Remittance,243.2731153,537.4924909,Reversed,FALSE,TRUE,TRUE,5.469071503,0,6
val_13,val_4348,20230202,val_0,val_3,Salary/Earnings Disbursement,43.83219675,221.9101277,Timeout,FALSE,TRUE,TRUE,546.1449813,0,348
val_14,val_1523,20230131,val_1,val_1,Cash-Out,924.9038979,251.7611511,Partially Completed,FALSE,FALSE,TRUE,93.98647903,0,123
val_15,val_1878,20230406,val_3,val_0,Refund,749.6408917,595.275474,Timeout,TRUE,TRUE,FALSE,13.93493594,926.1895397,262
val_16,val_2657,20230812,val_5,val_1,Reversal,462.3636006,194.0874996,Declined,TRUE,TRUE,FALSE,782.0045891,948.0581512,987
val_17,val_3990,20230827,val_4,val_1,Peer Transfer,647.3987785,264.2306061,Pending,TRUE,TRUE,TRUE,330.8024337,755.8647849,435
val_18,val_736,20240601,val_9,val_3,Agent Withdrawal,942.3572464,159.8629528,Failed,TRUE,TRUE,FALSE,40.56473746,518.0730241,404
val_19,val_2334,20240908,val_7,val_0,Wallet Funding via Card,545.7897253,802.0595733,Disputed,FALSE,FALSE,TRUE,882.6835776,0,658
val_20,val_1211,20230128,val_3,val_1,Peer Transfer,564.5459787,690.418821,Timeout,FALSE,FALSE,FALSE,288.2384365,0,64
val_21,val_3563,20240728,val_11,val_2,Bill Payment,26.13711154,309.8042277,Timeout,FALSE,TRUE,FALSE,16.08555995,0,812
val_22,val_1209,20230723,val_10,val_3,Merchant Payment,401.1797696,620.239349,Disputed,FALSE,FALSE,FALSE,319.7619818,0,601
val_23,val_1781,20241027,val_7,val_0,Reversal,663.9797361,486.8836983,Completed,FALSE,TRUE,FALSE,197.056305,0,205
val_24,val_1731,20241219,val_2,val_0,Cash-In,270.6211601,247.830983,Failed,TRUE,FALSE,TRUE,514.0501028,64.22497414,405
val_25,val_353,20240712,val_10,val_3,Wallet Funding via Card,896.0834448,989.8841868,Pending,TRUE,FALSE,TRUE,264.5379765,308.0133428,979
val_26,val_3340,20240305,val_8,val_3,Agent Withdrawal,611.9932788,987.7791155,Reversed,FALSE,FALSE,FALSE,785.2837661,0,622
val_27,val_1270,20230814,val_1,val_1,Peer Transfer,541.7629271,992.369212,Completed,FALSE,TRUE,FALSE,344.8620179,0,721
val_28,val_2454,20240404,val_2,val_1,Salary/Earnings Disbursement,224.4100159,644.6728257,Pending,TRUE,FALSE,FALSE,453.3527367,933.7753613,101
val_29,val_3485,20240826,val_3,val_0,Merchant Payment,480.8998855,735.5881019,Timeout,FALSE,FALSE,TRUE,109.5412344,0,267
val_30,val_3934,20231012,val_7,val_3,Airtime Top-Up,236.1858472,483.659455,Timeout,FALSE,TRUE,FALSE,219.3878641,0,430
val_31,val_4589,20230107,val_10,val_3,Wallet Funding via Bank Transfer,808.0777845,159.3189874,Partially Completed,TRUE,FALSE,FALSE,259.85757,189.3249319,670
val_32,val_630,20230613,val_1,val_2,Salary/Earnings Disbursement,471.3975627,483.3148348,Declined,TRUE,FALSE,FALSE,515.9970088,622.5832854,819
val_33,val_3141,20241215,val_0,val_2,Wallet Funding via Bank Transfer,880.219797,448.6853989,Declined,FALSE,TRUE,TRUE,117.1427269,0,359
val_34,val_1641,20240308,val_8,val_2,Agent Withdrawal,569.4605622,326.4030293,Failed,TRUE,FALSE,TRUE,440.4534522,366.074397,612
val_35,val_3844,20231215,val_5,val_1,Agent Withdrawal,663.3759285,178.1431591,Completed,FALSE,TRUE,FALSE,130.8907205,0,72
val_36,val_1943,20231012,val_0,val_1,Agent Withdrawal,227.0666101,246.9221348,Failed,FALSE,TRUE,FALSE,913.9996667,0,272
val_37,val_70,20230609,val_5,val_3,Refund,349.910713,119.6942094,Declined,TRUE,FALSE,FALSE,2.506642447,849.2673971,911
val_38,val_4280,20230809,val_0,val_1,Reversal,670.3212995,447.6359059,Timeout,TRUE,TRUE,FALSE,155.4157495,210.7431577,627
val_39,val_3800,20231211,val_11,val_3,Airtime Top-Up,810.2261252,900.7435104,Reversed,FALSE,TRUE,FALSE,83.48820178,0,280
val_40,val_1652,20230415,val_10,val_1,Cash-Out,706.8831287,913.9622447,Completed,FALSE,TRUE,FALSE,173.8386196,0,128
val_41,val_4177,20230405,val_5,val_3,Wallet Funding via Card,967.0340578,47.70247882,Timeout,TRUE,FALSE,TRUE,581.7554055,703.3760429,687
val_42,val_2052,20240125,val_9,val_1,Refund,150.9262779,830.4516281,Timeout,FALSE,FALSE,TRUE,384.1279658,0,512
val_43,val_2063,20230410,val_10,val_1,Wallet Funding via Bank Transfer,152.581298,218.1790108,Pending,FALSE,FALSE,FALSE,365.3942998,0,666
val_44,val_1499,20240103,val_0,val_0,Wallet Funding via Bank Transfer,398.7769657,745.0608033,Pending,FALSE,FALSE,TRUE,23.14115304,0,308
val_45,val_2469,20231219,val_7,val_1,Agent Withdrawal,312.8168275,560.0666433,Failed,TRUE,FALSE,TRUE,260.7052523,912.0477656,992
val_46,val_4972,20240910,val_2,val_2,Peer Transfer,83.50759977,447.6057748,Reversed,FALSE,TRUE,TRUE,819.7245601,0,101
val_47,val_261,20230928,val_3,val_2,Merchant Payment,654.3808553,209.6834784,Partially Completed,FALSE,TRUE,FALSE,515.1253294,0,232
val_48,val_2966,20230214,val_7,val_2,Salary/Earnings Disbursement,615.6222267,727.3196175,Declined,FALSE,FALSE,TRUE,875.5710432,0,39
val_49,val_873,20240415,val_1,val_2,Wallet Funding via Bank Transfer,176.0202168,376.17743,Disputed,FALSE,FALSE,TRUE,512.3457377,0,406
val_50,val_619,20240703,val_11,val_1,Refund,606.5222684,465.2438156,Partially Completed,FALSE,TRUE,FALSE,689.2384695,0,210
val_51,val_282,20230508,val_5,val_1,Merchant Payment,984.7946749,600.8274298,Failed,FALSE,TRUE,TRUE,105.4640485,0,795
val_52,val_1366,20240123,val_10,val_0,Wallet Funding via Bank Transfer,493.4557057,195.5728516,Pending,FALSE,TRUE,TRUE,86.91702735,0,720
val_53,val_3656,20230322,val_0,val_0,Airtime Top-Up,697.4055698,292.785932,Declined,FALSE,FALSE,TRUE,211.2181437,0,770
val_54,val_3681,20240719,val_9,val_2,Wallet Funding via Bank Transfer,620.6852035,890.1434817,Failed,TRUE,FALSE,FALSE,75.57176871,584.685191,487
val_55,val_3999,20231028,val_4,val_1,Wallet Funding via Card,264.2928652,361.432666,Disputed,TRUE,FALSE,FALSE,295.0295827,705.980611,894
val_56,val_726,20241005,val_8,val_0,Wallet Funding via Card,575.0798208,555.4835499,Reversed,TRUE,FALSE,FALSE,174.8943971,514.7625184,588
val_57,val_543,20240925,val_6,val_3,Airtime Top-Up,598.9373413,967.5381888,Completed,TRUE,TRUE,TRUE,479.7161355,955.3006186,800
val_58,val_4910,20240106,val_6,val_1,Salary/Earnings Disbursement,932.1764236,496.415289,Pending,FALSE,FALSE,FALSE,923.7584586,0,42
val_59,val_4607,20240814,val_6,val_1,Wallet Funding via Bank Transfer,845.8212938,275.1355774,Reversed,TRUE,FALSE,FALSE,375.976656,674.9631132,286
val_60,val_3500,20230716,val_5,val_1,Bill Payment,401.0789348,779.6989211,Failed,TRUE,FALSE,FALSE,718.8270943,805.7401656,158
